Year,Month,Day,Weekday,Temperature,Precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro,Total
2016,Oct,20,Thursday,18.9,0.0,2869,5588,7089,4857,20403
2016,Oct,21,Friday,19.7,28.19,1246,2566,3558,2772,10142
2016,Oct,22,Saturday,9.1,7.37,544,1254,2108,1517,5423
2016,Oct,23,Sunday,11.9,0.0,1899,3271,4020,2707,11897
2016,Oct,24,Monday,13.4,0.0,3041,5470,6357,4030,18898
2016,Oct,25,Tuesday,9.2,0.0,2616,5224,5760,4054,17654
2016,Oct,26,Wednesday,6.6,0.0,2520,4909,5649,3870,16948
2016,Oct,27,Thursday,8.6,35.81,651,1558,2137,1902,6248
2016,Oct,28,Friday,7.5,0.0,2021,3872,4271,3202,13366
2016,Oct,29,Saturday,10.6,0.0,1639,3160,4027,2920,11746
2016,Oct,30,Sunday,19.1,14.22,1702,2971,3531,2547,10751
2016,Oct,31,Monday,9.4,0.0,2648,4876,5440,3720,16684
